Age_Group,Gender,Emirate,Occupation,Income,Family_Size,Education,Purchase_Location,Purchase_Frequency,Products_Bought,Monthly_Spending_Range,Uses_Eco_Products,Preferred_Packaging,Importance_Convenience,Importance_Price,Importance_Sustainability,Aware_Plastic_Ban,Reduce_Waste_Score,Eco_Brand_Preference,Follow_Campaigns,Social_Influence_Score,Used_Refill_Before,Try_Refill_Likelihood,Preferred_Payment_Mode,Refill_Location,Container_Type,Refill_Combos,Preferred_Scents,Interest_Non_Liquids,Discount_Switch,Willingness_to_Pay_AED,Usage_Frequency,Likely_to_Use_ReFillHub
35-44,Female,Ajman,Homemaker,>40000,3-4,Postgraduate,Online,Monthly,"Hand Wash, Fabric Softener, Cooking Oil, Surface Cleaner",200-400,Yes,No preference,5,2,4,Yes,4,2,No,1,No,5,Mobile App,Malls,Buy branded bottle once,"Detergent + Fabric Softener, Hand Wash + Sanitizer","Fresh Linen, Floral",No,10-20%,185.69,Twice,Yes
35-44,Male,Abu Dhabi,Professional,10000-20000,3-4,Undergraduate,Hypermarket,Weekly,"Detergent, Sanitizer, Shampoo",200-400,Yes,Biodegradable,5,3,3,No,4,5,No,3,No,4,Card,Malls,Bring my own,"Surface Cleaner + Air Freshener, Hand Wash + Sanitizer","Floral, Citrus, Unscented",No,5-10%,76.05,Once,No
55+,Male,Others,Professional,10000-20000,1-2,Postgraduate,Hypermarket,Quarterly,"Surface Cleaner, Detergent, Body Wash, Hand Wash",100-200,No,Plastic,3,4,3,Unsure,5,5,No,5,No,3,Card,Malls,Buy branded bottle once,"Cooking Oil + Vinegar, Detergent + Fabric Softener","Fresh Linen, Citrus, Herbal",Yes,>20%,63.76,Weekly,No
25-34,Female,Ajman,Professional,10000-20000,3-4,High School,Hypermarket,Bi-weekly,"Detergent, Surface Cleaner, Conditioner, Fabric Softener, Hand Wash",200-400,No,Plastic,5,2,3,Yes,3,2,Yes,1,No,5,Mobile App,Supermarkets,Use disposable option,"Hand Wash + Sanitizer, Detergent + Fabric Softener, Shampoo + Conditioner","Floral, Fresh Linen, Citrus",Maybe,5-10%,72.04,Weekly,No
25-34,Male,Dubai,Professional,10000-20000,3-4,High School,Supermarket,Bi-weekly,"Fabric Softener, Cooking Oil, Detergent",50-100,No,Glass,5,5,4,Yes,5,3,No,5,No,5,Subscription,Supermarkets,Bring my own,"Cooking Oil + Vinegar, Surface Cleaner + Air Freshener","Citrus, Unscented",Yes,5-10%,55.95,Weekly,Yes
45-54,Male,Ajman,Entrepreneur,20000-40000,3-4,Doctorate,Hypermarket,Bi-weekly,"Cooking Oil, Sanitizer, Shampoo",50-100,No,Glass,4,4,3,Yes,3,5,Yes,1,No,3,Mobile App,Supermarkets,Buy branded bottle once,"Hand Wash + Sanitizer, Detergent + Fabric Softener, Cooking Oil + Vinegar","Herbal, Unscented",No,10-20%,123.54,Weekly,No
25-34,Male,Dubai,Professional,5000-10000,5+,Postgraduate,Hypermarket,Monthly,"Cooking Oil, Sanitizer, Detergent, Surface Cleaner",200-400,Yes,Aluminum,5,4,5,Yes,2,3,Yes,2,No,3,Card,Petrol Stations,Bring my own,"Shampoo + Conditioner, Hand Wash + Sanitizer","Fresh Linen, Citrus",Maybe,10-20%,34.58,Once,Yes
55+,Male,Sharjah,Professional,5000-10000,1-2,Postgraduate,Hypermarket,Bi-weekly,"Surface Cleaner, Detergent, Fabric Softener, Shampoo, Body Wash",50-100,Yes,Aluminum,5,2,5,Yes,5,2,No,3,Yes,3,Cash,Supermarkets,Bring my own,"Hand Wash + Sanitizer, Detergent + Fabric Softener","Unscented, Citrus",Maybe,>20%,49.4,Weekly,Yes
18-24,Male,Dubai,Student,20000-40000,1-2,Undergraduate,Online,Weekly,"Sanitizer, Hand Wash, Shampoo, Cooking Oil",<50,Yes,Biodegradable,3,4,3,Unsure,3,3,Yes,1,No,2,Card,Residential Lobbies,Bring my own,"Detergent + Fabric Softener, Hand Wash + Sanitizer","Fresh Linen, Herbal, Citrus",No,>20%,106.16,More than 4x,No
55+,Male,Ajman,Professional,>40000,3-4,Postgraduate,Local Store,Weekly,"Detergent, Fabric Softener, Cooking Oil, Surface Cleaner",200-400,Yes,Glass,3,2,5,Yes,2,3,No,4,No,2,Cash,Gyms,Use disposable option,"Shampoo + Conditioner, Hand Wash + Sanitizer","Unscented, Herbal",Maybe,10-20%,212.26,Twice,No
18-24,Male,Ajman,Professional,20000-40000,3-4,Undergraduate,Hypermarket,Bi-weekly,"Conditioner, Fabric Softener, Sanitizer, Hand Wash",200-400,Occasionally,Plastic,4,5,5,No,2,4,Yes,1,No,5,Mobile App,Malls,Bring my own,"Hand Wash + Sanitizer, Surface Cleaner + Air Freshener, Shampoo + Conditioner","Fresh Linen, Floral",Maybe,10-20%,98.9,Weekly,No
45-54,Male,Sharjah,Entrepreneur,10000-20000,3-4,Undergraduate,Supermarket,Monthly,"Cooking Oil, Fabric Softener, Surface Cleaner, Shampoo",50-100,Occasionally,Biodegradable,5,3,5,No,5,4,No,2,No,3,Mobile App,Malls,Buy branded bottle once,"Surface Cleaner + Air Freshener, Cooking Oil + Vinegar","Floral, Herbal, Unscented",Yes,5-10%,72.17,Weekly,No
35-44,Prefer not to say,Sharjah,Other,20000-40000,5+,Postgraduate,Online,Bi-weekly,"Conditioner, Cooking Oil, Shampoo",200-400,No,Plastic,5,2,5,Yes,3,5,Yes,4,Yes,5,Mobile App,Petrol Stations,Bring my own,"Detergent + Fabric Softener, Shampoo + Conditioner, Surface Cleaner + Air Freshener","Citrus, Unscented",Yes,5-10%,125.59,Weekly,No
55+,Male,Dubai,Professional,10000-20000,5+,Undergraduate,Local Store,Bi-weekly,"Hand Wash, Surface Cleaner, Shampoo",100-200,Yes,No preference,5,3,5,No,2,4,Yes,4,No,5,Subscription,Residential Lobbies,Buy branded bottle once,"Detergent + Fabric Softener, Surface Cleaner + Air Freshener","Fresh Linen, Herbal, Unscented",Yes,10-20%,78.59,Twice,Yes
18-24,Male,Dubai,Entrepreneur,10000-20000,5+,Undergraduate,Supermarket,Weekly,"Hand Wash, Cooking Oil, Body Wash, Surface Cleaner",100-200,No,Plastic,5,4,4,Yes,5,4,No,1,No,5,Cash,Supermarkets,Use disposable option,"Detergent + Fabric Softener, Shampoo + Conditioner","Fresh Linen, Herbal, Citrus",Yes,>20%,62.53,More than 4x,No
35-44,Female,Dubai,Professional,5000-10000,3-4,Undergraduate,Other,Bi-weekly,"Shampoo, Fabric Softener, Cooking Oil, Hand Wash, Detergent",200-400,No,No preference,5,2,3,Yes,2,4,Yes,2,No,2,Mobile App,Supermarkets,Buy branded bottle once,"Surface Cleaner + Air Freshener, Shampoo + Conditioner","Floral, Herbal, Unscented",Maybe,5-10%,32.6,Weekly,No
55+,Male,Dubai,Professional,10000-20000,3-4,Postgraduate,Hypermarket,Quarterly,"Shampoo, Detergent, Surface Cleaner, Fabric Softener, Sanitizer",100-200,No,Plastic,5,5,5,Yes,4,3,Yes,4,No,3,Mobile App,Supermarkets,Use disposable option,"Cooking Oil + Vinegar, Surface Cleaner + Air Freshener","Unscented, Fresh Linen, Citrus",No,5-10%,82.81,More than 4x,No
35-44,Female,Abu Dhabi,Student,5000-10000,3-4,Undergraduate,Hypermarket,Bi-weekly,"Cooking Oil, Surface Cleaner, Hand Wash, Sanitizer, Fabric Softener",50-100,No,Plastic,4,2,3,Yes,5,3,No,3,No,5,Mobile App,Residential Lobbies,Bring my own,"Cooking Oil + Vinegar, Shampoo + Conditioner","Herbal, Unscented, Floral",Yes,10-20%,48.76,Twice,No
35-44,Female,Dubai,Professional,5000-10000,1-2,Postgraduate,Supermarket,Quarterly,"Conditioner, Hand Wash, Detergent, Shampoo",50-100,No,Plastic,5,2,5,No,2,4,Yes,3,No,2,Mobile App,Supermarkets,Buy branded bottle once,"Shampoo + Conditioner, Detergent + Fabric Softener, Hand Wash + Sanitizer","Citrus, Fresh Linen, Unscented",Maybe,<5%,39.28,Weekly,No
35-44,Male,Others,Professional,20000-40000,3-4,Undergraduate,Supermarket,Bi-weekly,"Sanitizer, Fabric Softener, Detergent, Conditioner",100-200,No,Biodegradable,5,2,4,Unsure,5,2,No,5,No,4,Cash,Malls,Buy branded bottle once,"Detergent + Fabric Softener, Cooking Oil + Vinegar, Shampoo + Conditioner","Fresh Linen, Citrus",Yes,10-20%,128.18,Weekly,No
25-34,Male,Abu Dhabi,Professional,5000-10000,3-4,Undergraduate,Local Store,Weekly,"Conditioner, Cooking Oil, Hand Wash",100-200,Occasionally,Biodegradable,5,3,4,Yes,5,4,Yes,5,No,4,Card,Supermarkets,Buy branded bottle once,"Hand Wash + Sanitizer, Detergent + Fabric Softener","Floral, Citrus",Maybe,10-20%,44.37,Twice,No
35-44,Female,Sharjah,Student,<5000,5+,Postgraduate,Supermarket,Monthly,"Sanitizer, Body Wash, Conditioner",200-400,Yes,Glass,4,3,5,No,3,2,Yes,2,No,5,Card,Supermarkets,Use disposable option,"Hand Wash + Sanitizer, Detergent + Fabric Softener","Floral, Fresh Linen, Herbal",Maybe,10-20%,18.43,Twice,Yes
35-44,Female,Dubai,Student,<5000,3-4,Undergraduate,Hypermarket,Bi-weekly,"Body Wash, Surface Cleaner, Hand Wash, Sanitizer",200-400,Occasionally,No preference,5,4,5,Yes,3,3,No,4,No,5,Subscription,Malls,Bring my own,"Shampoo + Conditioner, Hand Wash + Sanitizer","Floral, Citrus",Maybe,5-10%,16.33,Weekly,No
55+,Female,Ajman,Professional,>40000,3-4,High School,Online,Monthly,"Fabric Softener, Shampoo, Conditioner, Hand Wash",100-200,Yes,Aluminum,4,4,5,No,2,2,No,3,No,3,Subscription,Supermarkets,Bring my own,"Detergent + Fabric Softener, Cooking Oil + Vinegar, Surface Cleaner + Air Freshener","Unscented, Citrus",Maybe,>20%,192.41,Once,No
18-24,Female,Ajman,Other,10000-20000,3-4,High School,Supermarket,Quarterly,"Hand Wash, Body Wash, Fabric Softener, Sanitizer, Surface Cleaner",200-400,Yes,Aluminum,3,4,4,Yes,5,3,Yes,3,Yes,3,Card,Malls,Bring my own,"Hand Wash + Sanitizer, Surface Cleaner + Air Freshener","Citrus, Herbal",Yes,<5%,67.05,Weekly,Yes
25-34,Male,Abu Dhabi,Professional,10000-20000,1-2,Undergraduate,Supermarket,Weekly,"Surface Cleaner, Detergent, Body Wash",50-100,Occasionally,Biodegradable,5,4,4,Yes,5,2,Yes,2,No,5,Card,Petrol Stations,Use disposable option,"Surface Cleaner + Air Freshener, Detergent + Fabric Softener","Unscented, Floral, Herbal",No,>20%,78.28,Once,No
55+,Prefer not to say,Abu Dhabi,Professional,20000-40000,1-2,Postgraduate,Online,Weekly,"Sanitizer, Cooking Oil, Detergent",<50,Occasionally,Plastic,4,2,3,Yes,4,3,No,4,No,2,Subscription,Malls,Use disposable option,"Detergent + Fabric Softener, Shampoo + Conditioner","Citrus, Floral",Yes,10-20%,135.51,Twice,No
45-54,Male,Sharjah,Student,20000-40000,3-4,High School,Other,Monthly,"Hand Wash, Surface Cleaner, Shampoo",200-400,Yes,Glass,3,3,4,Yes,5,3,Yes,2,No,5,Mobile App,Supermarkets,Buy branded bottle once,"Surface Cleaner + Air Freshener, Cooking Oil + Vinegar","Floral, Unscented",Yes,>20%,106.03,Weekly,Yes
25-34,Female,Dubai,Professional,5000-10000,1-2,Postgraduate,Online,Bi-weekly,"Shampoo, Hand Wash, Detergent, Surface Cleaner, Fabric Softener",<50,No,No preference,4,3,5,Yes,3,4,Yes,1,No,3,Mobile App,Gyms,Buy branded bottle once,"Hand Wash + Sanitizer, Detergent + Fabric Softener","Citrus, Herbal",No,10-20%,46.59,Once,No
35-44,Female,Abu Dhabi,Professional,10000-20000,3-4,Undergraduate,Online,Weekly,"Hand Wash, Surface Cleaner, Conditioner",50-100,Yes,No preference,4,3,3,Unsure,5,5,Yes,3,No,3,Card,Supermarkets,Buy branded bottle once,"Surface Cleaner + Air Freshener, Shampoo + Conditioner, Hand Wash + Sanitizer","Unscented, Herbal, Fresh Linen",Yes,5-10%,73.36,More than 4x,Yes
25-34,Female,Dubai,Professional,20000-40000,5+,Undergraduate,Supermarket,Weekly,"Detergent, Surface Cleaner, Sanitizer, Cooking Oil",100-200,No,No preference,3,3,4,Yes,3,5,Yes,2,No,2,Cash,Malls,Buy branded bottle once,"Surface Cleaner + Air Freshener, Detergent + Fabric Softener, Shampoo + Conditioner","Fresh Linen, Herbal, Citrus",Maybe,>20%,124.65,More than 4x,No
25-34,Female,Dubai,Professional,10000-20000,5+,Postgraduate,Online,Weekly,"Conditioner, Sanitizer, Hand Wash, Shampoo",100-200,Occasionally,No preference,5,4,4,Unsure,4,3,Yes,2,No,5,Card,Supermarkets,Bring my own,"Hand Wash + Sanitizer, Detergent + Fabric Softener, Surface Cleaner + Air Freshener","Floral, Citrus",Maybe,10-20%,84.88,Weekly,Yes
25-34,Male,Dubai,Student,5000-10000,3-4,Undergraduate,Online,Monthly,"Shampoo, Sanitizer, Conditioner, Detergent, Fabric Softener",200-400,Occasionally,Plastic,5,2,5,No,2,4,Yes,1,No,3,Card,Supermarkets,Buy branded bottle once,"Detergent + Fabric Softener, Surface Cleaner + Air Freshener, Shampoo + Conditioner","Herbal, Fresh Linen, Unscented",Yes,<5%,48.41,More than 4x,No
25-34,Male,Dubai,Student,20000-40000,1-2,Undergraduate,Local Store,Weekly,"Fabric Softener, Detergent, Body Wash, Surface Cleaner",50-100,No,Biodegradable,4,3,3,Yes,3,5,Yes,5,Yes,5,Card,Petrol Stations,Buy branded bottle once,"Hand Wash + Sanitizer, Shampoo + Conditioner","Fresh Linen, Herbal",No,5-10%,113.63,More than 4x,Yes
35-44,Male,Dubai,Professional,10000-20000,5+,High School,Online,Bi-weekly,"Shampoo, Detergent, Sanitizer",<50,Yes,Glass,3,5,4,Yes,2,5,Yes,3,No,3,Subscription,Residential Lobbies,Buy branded bottle once,"Shampoo + Conditioner, Surface Cleaner + Air Freshener, Cooking Oil + Vinegar","Citrus, Fresh Linen, Floral",Yes,10-20%,80.78,Twice,No
18-24,Male,Dubai,Student,5000-10000,5+,High School,Online,Monthly,"Fabric Softener, Sanitizer, Conditioner, Body Wash, Shampoo",50-100,No,No preference,5,2,4,No,2,4,Yes,2,No,4,Mobile App,Malls,Bring my own,"Cooking Oil + Vinegar, Shampoo + Conditioner","Floral, Fresh Linen, Unscented",Maybe,10-20%,33.6,More than 4x,No
55+,Female,Others,Student,10000-20000,1-2,Undergraduate,Supermarket,Bi-weekly,"Body Wash, Fabric Softener, Sanitizer, Hand Wash",100-200,Yes,Glass,4,5,5,Yes,2,4,No,3,No,4,Cash,Residential Lobbies,Buy branded bottle once,"Detergent + Fabric Softener, Surface Cleaner + Air Freshener, Shampoo + Conditioner","Unscented, Fresh Linen",No,10-20%,53.56,Twice,No
55+,Male,Abu Dhabi,Professional,<5000,3-4,High School,Other,Weekly,"Cooking Oil, Body Wash, Hand Wash, Fabric Softener, Conditioner",100-200,Occasionally,Aluminum,3,2,3,Yes,2,5,Yes,5,No,4,Mobile App,Malls,Buy branded bottle once,"Shampoo + Conditioner, Surface Cleaner + Air Freshener","Unscented, Citrus",Yes,10-20%,50.9,Weekly,No
35-44,Male,Others,Homemaker,<5000,3-4,Undergraduate,Supermarket,Monthly,"Detergent, Sanitizer, Hand Wash, Shampoo, Surface Cleaner",100-200,Occasionally,Glass,4,2,3,Yes,3,5,No,2,No,3,Subscription,Petrol Stations,Buy branded bottle once,"Cooking Oil + Vinegar, Hand Wash + Sanitizer, Shampoo + Conditioner","Unscented, Floral",Yes,10-20%,16.92,Weekly,No
35-44,Female,Dubai,Professional,20000-40000,5+,Undergraduate,Supermarket,Weekly,"Fabric Softener, Body Wash, Shampoo, Sanitizer",200-400,No,Plastic,3,2,3,Yes,4,2,No,1,No,2,Cash,Residential Lobbies,Buy branded bottle once,"Surface Cleaner + Air Freshener, Cooking Oil + Vinegar","Citrus, Herbal",Yes,>20%,115.86,Weekly,Yes
25-34,Female,Dubai,Professional,<5000,5+,Undergraduate,Hypermarket,Monthly,"Surface Cleaner, Sanitizer, Hand Wash",>400,Yes,Plastic,5,5,3,Unsure,5,2,Yes,3,Yes,4,Cash,Residential Lobbies,Buy branded bottle once,"Detergent + Fabric Softener, Cooking Oil + Vinegar, Surface Cleaner + Air Freshener","Herbal, Citrus, Unscented",Maybe,10-20%,30.44,Once,Yes
45-54,Female,Abu Dhabi,Professional,10000-20000,1-2,High School,Online,Monthly,"Cooking Oil, Body Wash, Conditioner, Shampoo",50-100,Yes,Biodegradable,5,3,5,Yes,3,3,No,1,No,3,Subscription,Malls,Buy branded bottle once,"Cooking Oil + Vinegar, Shampoo + Conditioner, Detergent + Fabric Softener","Floral, Citrus, Fresh Linen",Yes,5-10%,78.47,Twice,No
35-44,Prefer not to say,Dubai,Other,10000-20000,5+,Undergraduate,Online,Bi-weekly,"Hand Wash, Shampoo, Conditioner, Detergent, Fabric Softener",100-200,Yes,Biodegradable,4,3,4,Yes,4,5,Yes,5,No,5,Mobile App,Gyms,Bring my own,"Surface Cleaner + Air Freshener, Cooking Oil + Vinegar, Hand Wash + Sanitizer","Floral, Fresh Linen, Herbal",Yes,>20%,83.85,Weekly,No
25-34,Male,Dubai,Professional,<5000,3-4,Postgraduate,Online,Bi-weekly,"Cooking Oil, Fabric Softener, Shampoo, Detergent",100-200,Occasionally,Plastic,5,5,4,Yes,5,4,No,5,No,4,Mobile App,Supermarkets,Buy branded bottle once,"Hand Wash + Sanitizer, Shampoo + Conditioner, Cooking Oil + Vinegar","Citrus, Fresh Linen, Floral",Maybe,<5%,34.38,Twice,No
55+,Male,Abu Dhabi,Student,>40000,5+,Doctorate,Hypermarket,Bi-weekly,"Body Wash, Sanitizer, Detergent, Conditioner",>400,No,Biodegradable,5,3,3,No,2,4,No,3,No,2,Subscription,Malls,Buy branded bottle once,"Detergent + Fabric Softener, Shampoo + Conditioner","Unscented, Floral, Citrus",Maybe,10-20%,185.58,Weekly,No
45-54,Female,Dubai,Professional,5000-10000,3-4,High School,Supermarket,Bi-weekly,"Conditioner, Shampoo, Sanitizer",>400,Yes,Aluminum,3,4,3,No,5,5,Yes,5,No,2,Cash,Supermarkets,Buy branded bottle once,"Shampoo + Conditioner, Cooking Oil + Vinegar","Citrus, Herbal, Floral",Maybe,10-20%,62.69,Weekly,Yes
55+,Female,Abu Dhabi,Student,5000-10000,5+,Postgraduate,Hypermarket,Monthly,"Body Wash, Shampoo, Hand Wash, Conditioner",50-100,No,Glass,5,3,3,Yes,5,3,No,4,No,2,Mobile App,Supermarkets,Buy branded bottle once,"Hand Wash + Sanitizer, Cooking Oil + Vinegar","Floral, Unscented, Herbal",No,10-20%,55.11,Twice,No
35-44,Male,Abu Dhabi,Professional,5000-10000,1-2,Undergraduate,Hypermarket,Monthly,"Cooking Oil, Detergent, Sanitizer, Fabric Softener, Conditioner",200-400,Occasionally,Plastic,3,4,4,Yes,4,4,Yes,3,No,5,Card,Supermarkets,Buy branded bottle once,"Surface Cleaner + Air Freshener, Shampoo + Conditioner","Citrus, Unscented, Fresh Linen",No,<5%,53.78,Once,Yes
35-44,Female,Dubai,Professional,5000-10000,3-4,Undergraduate,Online,Bi-weekly,"Fabric Softener, Surface Cleaner, Body Wash, Sanitizer, Hand Wash",100-200,Yes,Biodegradable,3,4,4,Yes,5,5,Yes,4,No,5,Mobile App,Malls,Buy branded bottle once,"Detergent + Fabric Softener, Surface Cleaner + Air Freshener","Citrus, Fresh Linen, Unscented",No,<5%,54.23,Weekly,No
25-34,Male,Dubai,Homemaker,<5000,1-2,Undergraduate,Online,Monthly,"Body Wash, Fabric Softener, Cooking Oil",<50,Occasionally,Biodegradable,4,4,3,Yes,2,5,No,5,No,2,Mobile App,Gyms,Buy branded bottle once,"Surface Cleaner + Air Freshener, Shampoo + Conditioner","Fresh Linen, Unscented",Yes,10-20%,10.0,Weekly,Yes
55+,Male,Sharjah,Professional,20000-40000,5+,High School,Supermarket,Quarterly,"Cooking Oil, Conditioner, Hand Wash, Shampoo, Body Wash",<50,Occasionally,Glass,3,5,5,Yes,3,3,Yes,3,No,2,Card,Residential Lobbies,Buy branded bottle once,"Cooking Oil + Vinegar, Detergent + Fabric Softener","Floral, Herbal",No,>20%,117.9,Twice,No
45-54,Female,Abu Dhabi,Entrepreneur,>40000,5+,High School,Hypermarket,Quarterly,"Shampoo, Body Wash, Conditioner",100-200,Occasionally,Aluminum,5,3,4,Unsure,3,5,Yes,4,Yes,2,Cash,Residential Lobbies,Buy branded bottle once,"Cooking Oil + Vinegar, Surface Cleaner + Air Freshener","Floral, Fresh Linen, Unscented",Yes,10-20%,190.33,Twice,Yes
18-24,Female,Dubai,Other,5000-10000,5+,Undergraduate,Online,Bi-weekly,"Detergent, Conditioner, Surface Cleaner, Cooking Oil",100-200,Yes,Plastic,3,3,4,Yes,4,4,Yes,5,Yes,5,Card,Malls,Use disposable option,"Detergent + Fabric Softener, Shampoo + Conditioner","Unscented, Floral",Yes,10-20%,38.89,Twice,No
18-24,Female,Others,Student,10000-20000,5+,Undergraduate,Supermarket,Bi-weekly,"Shampoo, Fabric Softener, Hand Wash, Detergent, Surface Cleaner",<50,Yes,Glass,3,5,3,Yes,2,2,No,2,Yes,5,Mobile App,Residential Lobbies,Buy branded bottle once,"Cooking Oil + Vinegar, Shampoo + Conditioner, Hand Wash + Sanitizer","Fresh Linen, Citrus",Maybe,5-10%,70.12,Once,Yes
25-34,Male,Dubai,Professional,20000-40000,1-2,Postgraduate,Online,Bi-weekly,"Fabric Softener, Detergent, Hand Wash, Shampoo, Conditioner",100-200,Yes,Plastic,4,5,5,No,2,3,Yes,2,Yes,3,Mobile App,Gyms,Bring my own,"Surface Cleaner + Air Freshener, Cooking Oil + Vinegar, Hand Wash + Sanitizer","Floral, Unscented, Citrus",Yes,5-10%,128.25,Weekly,No
45-54,Female,Abu Dhabi,Professional,20000-40000,3-4,Undergraduate,Other,Quarterly,"Detergent, Body Wash, Sanitizer, Conditioner, Surface Cleaner",50-100,Yes,Plastic,5,3,3,Yes,5,5,No,1,Yes,4,Mobile App,Residential Lobbies,Buy branded bottle once,"Hand Wash + Sanitizer, Shampoo + Conditioner, Cooking Oil + Vinegar","Herbal, Fresh Linen, Unscented",Maybe,<5%,122.87,Weekly,Yes
55+,Male,Others,Professional,10000-20000,1-2,High School,Online,Weekly,"Conditioner, Shampoo, Surface Cleaner, Hand Wash, Sanitizer",100-200,Yes,Biodegradable,5,5,3,Yes,4,3,Yes,2,Yes,5,Card,Supermarkets,Buy branded bottle once,"Surface Cleaner + Air Freshener, Shampoo + Conditioner, Detergent + Fabric Softener","Unscented, Citrus, Herbal",Yes,5-10%,79.37,Weekly,Yes
25-34,Male,Dubai,Professional,5000-10000,1-2,Postgraduate,Local Store,Monthly,"Sanitizer, Cooking Oil, Conditioner, Shampoo, Surface Cleaner",50-100,No,No preference,5,5,5,Yes,2,5,Yes,4,Yes,2,Mobile App,Supermarkets,Use disposable option,"Cooking Oil + Vinegar, Detergent + Fabric Softener, Surface Cleaner + Air Freshener","Unscented, Citrus, Floral",Yes,10-20%,45.54,More than 4x,Yes
35-44,Female,Dubai,Other,5000-10000,1-2,Undergraduate,Supermarket,Bi-weekly,"Body Wash, Sanitizer, Conditioner, Shampoo, Surface Cleaner",50-100,No,Glass,3,4,5,Yes,2,2,No,2,No,4,Card,Gyms,Buy branded bottle once,"Hand Wash + Sanitizer, Detergent + Fabric Softener, Shampoo + Conditioner","Herbal, Citrus",No,5-10%,53.76,Once,No
25-34,Female,Dubai,Entrepreneur,20000-40000,3-4,Undergraduate,Supermarket,Bi-weekly,"Sanitizer, Conditioner, Fabric Softener, Detergent",100-200,Occasionally,Plastic,5,5,5,Unsure,2,3,Yes,3,No,5,Card,Petrol Stations,Bring my own,"Cooking Oil + Vinegar, Detergent + Fabric Softener, Hand Wash + Sanitizer","Unscented, Herbal",Maybe,<5%,118.01,Weekly,No
55+,Female,Dubai,Professional,20000-40000,3-4,Postgraduate,Supermarket,Bi-weekly,"Surface Cleaner, Conditioner, Detergent, Fabric Softener",50-100,Yes,Aluminum,5,4,4,Yes,3,5,No,3,No,4,Card,Supermarkets,Bring my own,"Cooking Oil + Vinegar, Surface Cleaner + Air Freshener","Fresh Linen, Floral, Citrus",No,10-20%,129.49,Weekly,Yes
45-54,Female,Dubai,Professional,5000-10000,1-2,Postgraduate,Online,Quarterly,"Cooking Oil, Sanitizer, Shampoo, Detergent",100-200,No,Biodegradable,3,2,3,Yes,3,2,Yes,3,Yes,3,Card,Supermarkets,Buy branded bottle once,"Hand Wash + Sanitizer, Detergent + Fabric Softener","Citrus, Herbal",Maybe,>20%,56.96,Weekly,No
45-54,Female,Abu Dhabi,Homemaker,5000-10000,1-2,Postgraduate,Supermarket,Weekly,"Cooking Oil, Surface Cleaner, Sanitizer",50-100,Occasionally,Biodegradable,4,4,4,Yes,3,4,Yes,2,No,5,Card,Residential Lobbies,Buy branded bottle once,"Surface Cleaner + Air Freshener, Hand Wash + Sanitizer","Unscented, Citrus",Yes,>20%,51.6,Weekly,No
25-34,Female,Dubai,Other,>40000,1-2,Postgraduate,Supermarket,Monthly,"Conditioner, Detergent, Sanitizer, Shampoo, Body Wash",100-200,Occasionally,Biodegradable,4,4,5,Unsure,5,5,Yes,2,No,2,Mobile App,Malls,Buy branded bottle once,"Surface Cleaner + Air Freshener, Detergent + Fabric Softener","Citrus, Unscented, Fresh Linen",Maybe,10-20%,191.99,Weekly,Yes
25-34,Male,Abu Dhabi,Homemaker,20000-40000,5+,Postgraduate,Local Store,Weekly,"Body Wash, Detergent, Conditioner",50-100,Occasionally,Glass,3,5,4,Yes,5,2,No,1,Yes,2,Subscription,Malls,Bring my own,"Detergent + Fabric Softener, Cooking Oil + Vinegar, Surface Cleaner + Air Freshener","Unscented, Fresh Linen",Yes,<5%,122.73,Weekly,Yes
25-34,Male,Others,Student,>40000,3-4,Postgraduate,Hypermarket,Weekly,"Conditioner, Hand Wash, Fabric Softener, Sanitizer, Detergent",100-200,Occasionally,Biodegradable,4,3,5,Yes,5,2,Yes,5,No,3,Mobile App,Petrol Stations,Buy branded bottle once,"Shampoo + Conditioner, Cooking Oil + Vinegar","Unscented, Fresh Linen",Maybe,10-20%,202.42,Once,Yes
18-24,Male,Sharjah,Professional,20000-40000,5+,Undergraduate,Hypermarket,Bi-weekly,"Hand Wash, Conditioner, Cooking Oil, Sanitizer",200-400,Occasionally,Plastic,4,2,5,Unsure,2,3,No,1,No,3,Mobile App,Malls,Buy branded bottle once,"Detergent + Fabric Softener, Shampoo + Conditioner","Citrus, Unscented, Fresh Linen",Yes,5-10%,121.19,Weekly,Yes
45-54,Male,Abu Dhabi,Student,5000-10000,3-4,High School,Supermarket,Bi-weekly,"Hand Wash, Shampoo, Cooking Oil, Conditioner, Surface Cleaner",50-100,Yes,Plastic,4,2,3,Yes,3,5,Yes,4,No,3,Mobile App,Gyms,Bring my own,"Detergent + Fabric Softener, Cooking Oil + Vinegar","Citrus, Fresh Linen",Maybe,10-20%,45.24,Weekly,Yes
45-54,Female,Dubai,Professional,10000-20000,3-4,Undergraduate,Supermarket,Bi-weekly,"Cooking Oil, Sanitizer, Shampoo, Fabric Softener",100-200,No,Glass,5,2,3,No,2,4,Yes,3,No,3,Cash,Residential Lobbies,Bring my own,"Cooking Oil + Vinegar, Detergent + Fabric Softener, Hand Wash + Sanitizer","Floral, Herbal, Fresh Linen",No,>20%,68.45,More than 4x,No
